127.0.0.1 - - [20/Apr/2024:15:26:39 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/trang-chu HTTP/1.1" 200 50620
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/carousel-1.jpg HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/carousel-2.jpg HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/carousel-3.jpg HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/template/web/lib/animate/animate.min.css HTTP/1.1" 200 71751
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/template/web/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/template/web/css/style.css HTTP/1.1" 200 175275
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/offer-2.jpg HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/offer-1.jpg HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/cat-1.jpg HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/cat-2.jpg HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/cat-3.jpg HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/cat-4.jpg HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/template/web/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/template/web/js/main.js HTTP/1.1" 200 2525
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/template/web/mail/jqBootstrapValidation.min.js HTTP/1.1" 200 14877
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/template/web/mail/contact.js HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/product-1.jpg HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/product-2.jpg HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/product-4.jpg HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/product-5.jpg HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/product-6.jpg HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/product-3.jpg HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/template/web/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [20/Apr/2024:15:26:40 +0700] "GET /shopbangiay-jsp-servlet/img/product-7.jpg HTTP/1.1" 404 722
